"!!!ObjTables objTablesVersion='1.0.14' date='2020-06-03 15:21:24' comment='Data obtained from Khodayari & Maranas, Nature Communications, 2016, DOI: 10.1038/ncomms13806'",
!!ObjTables type='Data' tableFormat='row' class='Compartment' name='Compartments' date='2020-06-03 15:21:24' objTablesVersion='1.0.14',
!Id,!Name
c,cytosol
e,extracellular space
p,periplasm
