!!!ObjTables objTablesVersion='0.0.8' date='2020-03-12 00:22:56',,,,
!!ObjTables type='Data' tableFormat='row' class='Compound' name='Compound' description='Compound' date='2020-03-12 00:22:56' objTablesVersion='0.0.8',,,,
!Model,!Id,!Name,!Identifiers,!IsConstant
e_coli,D_Fructose_6_phosphate,D-Fructose 6-phosphate,kegg.compound:C00085,True
e_coli,D_Glucose,D-Glucose,kegg.compound:C00031,True
e_coli,D_Glucose_6_phosphate,D-Glucose 6-phosphate,kegg.compound:C00092,True
e_coli,Phosphoenolpyruvate,Phosphoenolpyruvate,kegg.compound:C00074,True
e_coli,Pyruvate,Pyruvate,kegg.compound:C00022,True
