!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:19:37' objTablesVersion='1.0.5'							
!QuantityType	!Mean	!Std	!Sign	!Unit	!Compound:SBML:species:id	!Reaction:SBML:reaction:id	!UseAsPriorInformation
Michaelis constant	0.0832		0	mM	NADH	R70	False
Michaelis constant	0.01		0	mM	NH3	R70	False
Michaelis constant	0.004		0	mM	OXALO	R70	False
Michaelis constant	0.184		0	mM	PEP	R70	False
Michaelis constant	0.39		0	mM	PYR	R70	False
Michaelis constant	1.32		0	mM	RIBOSE_5_P	R70	False
Michaelis constant	0.89		0	mM	GA_3P	R7ra	False
Michaelis constant	0.045		0	mM	NAD	R7ra	False
Michaelis constant	0.135		0	mM	PEP	R8r	False
Michaelis constant	0.22		0	mM	ADP	R9	False
Michaelis constant	22.45		0	mM	ATP	R9	False
Michaelis constant	0.31		0	mM	PEP	R9	False
Michaelis constant	0.028		0	mM	ATP	RR9	False
Michaelis constant	0.083		0	mM	PYR	RR9	False
Michaelis constant	0.04		0	mM	GLUCO_6_P	R60	False
Michaelis constant	0.35		0	mM	KDPG	R61r	False
substrate catalytic rate constant	231.0	80.6102	0	1/s		R10a	False
substrate catalytic rate constant	122.667	79.8231	0	1/s		R10c	False
substrate catalytic rate constant	33.395	6.37103	0	1/s		R21	False
substrate catalytic rate constant	390.5	437.699	0	1/s		R22	False
substrate catalytic rate constant	92.9107	70.3045	0	1/s		R24	False
substrate catalytic rate constant	92.0	13.8804	0	1/s		R27	False
substrate catalytic rate constant	219.0	37.7227	0	1/s		R27b	False
substrate catalytic rate constant	538.0	503.107	0	1/s		R29r	False
substrate catalytic rate constant	399.25	405.413	0	1/s		R2r	False
substrate catalytic rate constant	112.005	38.6592	0	1/s		R3	False
substrate catalytic rate constant	22.0	2.82843	0	1/s		R4	False
substrate catalytic rate constant	9.33333	1.64992	0	1/s		R5r	False
substrate catalytic rate constant	209.0	106.302	0	1/s		R8r	False
substrate catalytic rate constant	623.75	241.01	0	1/s		R9	False
substrate catalytic rate constant	472.0		0	1/s		R10b	False
substrate catalytic rate constant	2100.0		0	1/s		R12r	False
substrate catalytic rate constant	13.0		0	1/s		R14r	False
substrate catalytic rate constant	9550.0		0	1/s		R20	False
substrate catalytic rate constant	149.0		0	1/s		R25	False
substrate catalytic rate constant	78.3333		0	1/s		R26r	False
substrate catalytic rate constant	300.0		0	1/s		R28r	False
substrate catalytic rate constant	150.0		0	1/s		R40	False
substrate catalytic rate constant	96.6667		0	1/s		R53r	False
substrate catalytic rate constant	74.7		0	1/s		R55a	False
substrate catalytic rate constant	148.933		0	1/s		R61r	False
substrate catalytic rate constant	9000.0		0	1/s		R6r	False
substrate catalytic rate constant	268.0		0	1/s		R7ra	False
substrate catalytic rate constant	329.0		0	1/s		R7rb	False
substrate catalytic rate constant	13.0		0	1/s		RR9	False
product catalytic rate constant	979.667	112.216	0	1/s		R29r	False
product catalytic rate constant	321.55	132.865	0	1/s		R55a	False
