!!!ObjTables schema='SBtab' objTablesVersion='1.0.5' date='2020-07-18 12:14:02',
!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Compartment' name='Compartment' date='2020-07-18 12:14:02' objTablesVersion='1.0.5' document='BIOMD0000000061',
!ID,!Size
extracellular,1.0
cytosol,1.0
