!!ObjTables objTablesVersion='0.0.8' schema='SBtab' document='Hynne_2001' type='Data' class='Enzyme',,,,
!ID,!Name,!CatalysedReaction,!KineticLaw,!Gene
HK1,Hxk1p,vHK,Henri-Michaelis-Menten rate law,HXK1
HK2,Hxk2p,vHK,Henri-Michaelis-Menten rate law,HXK2
HK3,Glk1p,vHK,Henri-Michaelis-Menten rate law,GLK1
