!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Reaction' name='Reaction' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,,,,,,,,,
!Name,!ID,!ReactionFormula,!IsComplete,!IsReversible,!IsInEquilibrium,!IsExchangeReaction,!IsNonEnzymatic,!BuildReaction,!BuildEnzyme,!BuildEnzymeProduction,!SBML:fbc:GeneAssociation,!SBML:fbc:LowerBound,!SBML:fbc:UpperBound
DM_T_antigen_g,R_DM_T_antigen_g,M_T_antigen_g <=> ,False,True,False,False,False,False,False,False,,R_DM_T_antigen_g_lower_bound,cobra_default_ub
EX_10fthf_e,R_EX_10fthf_e,M_10fthf_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_10fthf5glu_e,R_EX_10fthf5glu_e,M_10fthf5glu_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_10fthf6glu_e,R_EX_10fthf6glu_e,M_10fthf6glu_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_10fthf7glu_e,R_EX_10fthf7glu_e,M_10fthf7glu_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_11__cis__retfa_e,R_EX_11__cis__retfa_e,M_11__cis__retfa_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_13__cis__retnglc_e,R_EX_13__cis__retnglc_e,M_13__cis__retnglc_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_1glyc_hs_e,R_EX_1glyc_hs_e,M_1glyc_hs_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_1mncam_e,R_EX_1mncam_e,M_1mncam_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_2425dhvitd2_e,R_EX_2425dhvitd2_e,M_2425dhvitd2_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_2425dhvitd3_e,R_EX_2425dhvitd3_e,M_2425dhvitd3_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_24nph_e,R_EX_24nph_e,M_24nph_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_25hvitd2_e,R_EX_25hvitd2_e,M_25hvitd2_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_25hvitd3_e,R_EX_25hvitd3_e,M_25hvitd3_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_2hb_e,R_EX_2hb_e,M_2hb_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_2mcit_e,R_EX_2mcit_e,M_2mcit_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_34dhoxpeg_e,R_EX_34dhoxpeg_e,M_34dhoxpeg_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_34dhphe_e,R_EX_34dhphe_e,M_34dhphe_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_35cgmp_e,R_EX_35cgmp_e,M_35cgmp_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_3aib_e,R_EX_3aib_e,M_3aib_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_3aib__D_e,R_EX_3aib__D_e,M_3aib__D_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_3mlda_e,R_EX_3mlda_e,M_3mlda_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_4abut_e,R_EX_4abut_e,M_4abut_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_4hdebrisoquine_e,R_EX_4hdebrisoquine_e,M_4hdebrisoquine_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_4hphac_e,R_EX_4hphac_e,M_4hphac_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_4mptnl_e,R_EX_4mptnl_e,M_4mptnl_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_4mtolbutamide_e,R_EX_4mtolbutamide_e,M_4mtolbutamide_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_4nph_e,R_EX_4nph_e,M_4nph_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_4nphsf_e,R_EX_4nphsf_e,M_4nphsf_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_4pyrdx_e,R_EX_4pyrdx_e,M_4pyrdx_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_5adtststerone_e,R_EX_5adtststerone_e,M_5adtststerone_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_5adtststeroneglc_e,R_EX_5adtststeroneglc_e,M_5adtststeroneglc_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_5adtststerones_e,R_EX_5adtststerones_e,M_5adtststerones_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_5dhf_e,R_EX_5dhf_e,M_5dhf_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
